,ID,lbm_2002,lbm_2008,lbm_2012,lbm_2014,lbm_2016,lbm_2018,lbm_2020,lbm_2022,cluster
1032,BU01185007,4.16740735,4.166786229,4.172016704,4.184654385,4.179924967,4.241584453,4.244872007,4.239771747,2
1033,BU01185008,3.904024899,3.886997748,3.921235161,3.911914568,3.961289949,4.036050953,4.03159986,4.029137737,4
1034,BU01185100,4.180216261,4.13510379,4.194068948,4.187801078,4.22242823,4.254943965,4.238228206,4.242593755,2
1035,BU01185101,4.211976101,4.251954406,4.313340234,4.311006605,4.296759115,4.35786283,4.355797864,4.36326465,2
1036,BU01185103,4.065114688,4.047618698,4.081884378,4.077831822,4.083798729,4.160747383,4.140353262,4.193578917,1
1037,BU01185104,4.004413345,3.968647101,3.992261176,4.012810126,4.019346715,4.066869122,4.085428348,4.141590224,4
1038,BU01185105,4.173885718,4.152001997,4.213312306,4.18987808,4.211136822,4.237021029,4.229216592,4.269544309,2
1039,BU01185106,4.073117103,4.078827357,4.102041681,4.069876865,4.096250999,4.092325446,4.104788932,4.148052732,1
1040,BU01185107,3.95716793,3.959558828,4.001321225,4.013692434,4.055092753,4.042579067,4.058935079,4.089751221,4
1041,BU01185108,4.157654044,4.128013532,4.158369418,4.15908522,4.157352922,4.239088415,4.234694174,4.256547958,1
1042,BU01185109,4.076715763,4.19770659,4.204643079,4.150227263,4.155167848,4.197060291,4.169591471,4.20738896,1
1043,BU01185200,4.316358386,4.229191729,4.274110043,4.301828225,4.338208435,4.313941275,4.29996056,4.268237617,2
1044,BU01185201,4.249956934,4.286198118,4.246835918,4.271871067,4.319900451,4.350378814,4.319017961,4.290088843,2
1045,BU01185300,4.02537739,3.966012609,3.990998809,3.982966091,3.986574966,3.99532374,4.016069018,4.017427294,4
1046,BU01185301,4.187430729,4.145025299,4.203326052,4.229814913,4.21818842,4.322269073,4.260779187,4.203307,2
1047,BU01185302,4.130554793,4.0747569,4.148812772,4.170924756,4.138832365,4.160321003,4.163027016,4.164540572,1
1048,BU01185400,4.051079381,4.068692677,4.08784615,4.08326089,4.123124827,4.123289301,4.13770957,4.129182637,1
1049,BU01185401,4.170268078,4.191995615,4.228195627,4.197272909,4.244719942,4.26543899,4.164070376,4.127673462,1
1050,BU01185402,4.086485016,4.134988474,4.164875648,4.189673195,4.215070691,4.186890626,4.219859514,4.193070304,1
1051,BU01185500,4.128124392,4.103218706,4.098659292,4.126323427,4.13024805,4.135103097,4.174185753,4.155102618,1
1052,BU01185501,4.248749862,4.248780351,4.244333574,4.217821068,4.242112137,4.272601965,4.245305246,4.223215609,2
1053,BU01185600,3.956150327,3.965577374,3.988374914,4.085090491,4.088461142,4.088419197,4.068959807,4.11520902,4
1054,BU01185601,3.9731555,4.018524356,4.02682612,4.150197412,4.210114015,4.210241483,4.198430256,4.127316112,1
1055,BU01185700,4.120150194,4.107049912,4.111679604,4.150208552,4.149951949,4.154100625,4.176096436,4.204574829,1
1056,BU01185701,4.241674532,4.187527621,4.20843879,4.223258025,4.236811323,4.306408332,4.245649355,4.265163942,2
1057,BU01185800,4.140560518,4.097349442,4.097988368,4.122431973,4.071967139,4.149339112,4.14499884,4.183106969,1
1058,BU01185801,4.189288495,4.211526248,4.206322991,4.236974439,4.20721527,4.252872054,4.230876237,4.264846165,2
1059,BU01185900,4.146480959,4.105032683,4.132493632,4.162211729,4.132280802,4.20355441,4.214883738,4.217060505,1
1060,BU01185901,4.253735742,4.178291209,4.187770172,4.244120302,4.250809078,4.246261675,4.26172728,4.264168467,2
1061,BU01186000,4.172777163,4.186247731,4.210011878,4.14167287,4.187207271,4.16229527,4.14842848,4.142450696,1
1062,BU01186001,4.280277316,4.21431014,4.207716297,4.193173875,4.165998173,4.212467282,4.209610132,4.209061777,2
1063,BU01186002,4.29473652,4.272608466,4.303075201,4.242068496,4.294517483,4.290362595,4.24878234,4.262018154,2
1064,BU01186003,4.388272061,4.370097106,4.404979164,4.350331897,4.388849771,4.437632134,4.41907697,4.444723435,0
1065,BU01186100,4.068864748,4.088502314,4.153009166,4.193440431,4.168777876,4.20291098,4.179567201,4.155701225,1
1066,BU01186201,4.098396661,4.452413153,4.393555062,4.339732985,4.351368755,4.368731225,4.317129036,4.318755208,0
1067,BU01186202,4.146575441,4.20775741,4.067540161,4.057794201,4.069158637,4.129470416,4.090873916,4.125946017,1
1068,BU01186203,4.11101203,4.135085206,4.069162177,4.047273824,4.039760392,4.116358412,4.12552975,4.129944319,1
1069,BU01186204,4.102906218,4.217980167,4.251055154,4.209360294,4.212867498,4.262575149,4.207872626,4.186168798,2
1070,BU01186205,4.194812444,4.288860378,4.303962913,4.248764355,4.252388526,4.303570571,4.340772537,4.301896734,2
1071,BU01186206,4.348208583,4.32203225,4.427061622,4.347137968,4.327490665,4.332512862,4.420073775,4.414937831,0
1072,BU01190000,4.074351631,4.081257713,4.081737791,4.098806131,4.113149887,4.111186524,4.141637472,4.147693928,1
1073,BU01190001,4.157905205,4.157494967,4.158127723,4.134855066,4.159441195,4.181391633,4.192075304,4.208082334,1
1074,BU01190002,4.258877977,4.249868267,4.246661018,4.223038201,4.214358103,4.21791112,4.228014559,4.24085656,2
1075,BU01190100,4.015785864,4.011169836,4.015023231,4.060616715,4.059997395,4.03825959,4.04075118,4.05455644,4
1076,BU01190101,3.827255169,3.876629605,3.910840306,3.933779072,4.012426922,3.95769159,3.964508747,3.930522493,3
1077,BU01190200,3.873869359,3.968843059,3.972921294,3.995398167,3.994373071,4.008484549,4.022760321,4.010093182,4
1078,BU01190201,3.802219441,3.816576688,3.881516216,3.902250505,3.96823201,3.952397644,3.962540466,3.998128588,3
1079,BU01190202,4.097126414,4.100096986,4.130841229,4.083163355,4.05870734,4.073959013,4.098383496,4.130151987,1
1080,BU01190300,3.966158912,4.003854436,4.048413548,4.075014855,4.057868987,4.084471432,4.089787994,4.143487388,4
1081,BU01190301,3.893607891,3.965878806,3.953009218,3.999079277,4.004182204,4.005747496,4.020787061,4.062900215,4
1082,BU01190302,4.302978091,4.312442889,4.29803231,4.236527915,4.260225982,4.248955438,4.221184854,4.258925764,2
1083,BU01190303,3.957905486,4.009738468,4.058881639,4.075572847,4.112200003,4.134947783,4.113254093,4.181122546,4
1084,BU01190400,3.930078077,4.214978041,4.284921106,4.243420368,4.240446285,4.277791433,4.248671474,4.28840602,2
1085,BU01190401,3.858678846,3.990601125,4.319699066,4.249364153,4.205221275,4.24256716,4.215698078,4.251209057,1
1086,BU01190500,3.879534538,3.898630694,3.976502395,4.002878611,4.030783593,4.022616655,4.063268765,4.096260124,4
1087,BU01190501,3.85827937,3.851009634,3.830087159,3.942870995,3.836937715,4.072667295,4.177574794,4.151728124,4
1088,BU01190600,4.122573887,4.13146344,4.144219867,4.190332572,4.191198957,4.190831855,4.208246639,4.24409455,1
1089,BU01190601,4.244360203,4.258300642,4.221406188,4.246873404,4.29454532,4.234632551,4.219387216,4.236464559,2
1090,BU01190602,4.272564761,4.253564265,4.247688062,4.278663203,4.254299593,4.252426615,4.241942089,4.281574339,2
1091,BU01190603,4.097439238,4.114128144,4.112353563,4.208466102,4.20329282,4.184752479,4.171297811,4.235910521,1
1092,BU01190700,4.125403075,4.110741353,4.149325551,4.272022812,4.369378384,4.155715447,4.097532138,4.082673039,1
1093,BU01190701,4.12161626,4.119946256,4.165163406,4.177904634,4.252736556,4.196432365,4.13364263,4.162310946,1
1094,BU01190800,4.206823449,4.236433162,4.238426096,4.230284718,4.193309906,4.209895227,4.242352058,4.345786312,2
1095,BU01190900,3.842565452,3.84711658,3.929938364,3.893334656,3.939548177,3.794130835,3.79452503,3.707515504,3
1096,BU01190901,4.067697611,3.954252463,4.058544879,4.050278025,4.305115585,4.243134894,4.279889877,4.238871515,1
1097,BU01191001,4.032064683,4.097247268,4.054523561,4.041822722,3.979445982,4.00226653,3.967258468,3.997706268,4
1098,BU01191002,4.137942803,4.104391989,4.030725851,4.051713792,4.086176236,4.066065828,4.133003607,4.100330334,4
1099,BU01191003,3.756667326,3.771896997,3.842875524,3.965243321,3.908107635,3.854424492,3.851110007,3.850429899,3
1100,BU01191004,4.180671263,4.163673198,4.104281329,4.168970011,4.288033343,4.196622913,4.231264611,4.268359481,2
1101,BU01191100,4.27995718,4.296221533,4.26113125,4.291841927,4.313413023,4.322339515,4.297009142,4.323570807,2
1102,BU01191101,4.303271988,4.35726253,4.295443742,4.340211803,4.33781329,4.32893959,4.314109831,4.332530883,2
1103,BU01191200,4.228190346,4.236538879,4.278429938,4.30723449,4.285463112,4.322280737,4.296827249,4.281078892,2
1104,BU01191201,4.051477763,4.091306618,4.098704241,4.070696058,4.105083433,4.15256895,4.143652678,4.121097516,1
1105,BU01191202,4.19838761,4.192866135,4.195198985,4.143834242,4.178631357,4.168431493,4.148469222,4.162418403,1
1106,BU01191203,4.183288495,4.285328837,4.287639944,4.205047727,4.246626663,4.223135979,4.210265007,4.205803544,2
1107,BU01191204,4.232684728,4.17407261,4.234180332,4.123760097,4.19997264,4.149109047,4.109263489,4.121118842,1
1108,BU01191205,4.025870804,4.03454015,4.07838148,4.10627756,4.14910023,4.042728916,4.036168716,4.104495157,4
1109,BU01191206,4.279065303,4.251511583,4.249924778,4.289523669,4.292545283,4.294760964,4.238187046,4.238651939,2
1110,BU01191207,4.117646528,4.123653983,4.10943812,4.163010527,4.175056721,4.220026845,4.201004768,4.21825624,1
1111,BU01191208,4.143176138,4.209750255,4.194473461,4.193577832,4.215354734,4.262170057,4.223111583,4.22753153,2
1112,BU01191209,4.166220806,4.146189785,4.192833151,4.146963773,4.22281578,4.18547676,4.113902181,4.11635406,1
1113,BU01191300,4.194441341,4.230541012,4.26540348,4.219688439,4.267092921,4.176669893,4.178130959,4.245733758,2
1114,BU01191301,4.316972413,4.35066221,4.358120865,4.452909364,4.470714653,4.387761767,4.362739929,4.364655448,0
1115,BU01191302,4.152864516,4.343090931,4.298583892,4.419801147,4.434225475,4.40557116,4.40108376,4.410124492,0
1116,BU01411000,4.125810969,4.11598641,4.144633576,4.09339106,4.14260004,4.098564504,4.095189341,4.104927135,1
1117,BU01411001,4.121074989,4.110401733,4.161799264,4.073597805,4.148536034,4.062385501,4.080475181,4.137171818,1
1118,BU01411002,4.006568364,4.026688697,4.074616983,3.998191391,4.05082005,3.99337102,4.022970934,4.076950144,4
1119,BU01411003,4.085582614,4.12639633,4.157466218,4.06824076,4.135131009,4.067073474,4.093750601,4.06071928,1
1120,BU01411100,3.960054208,3.929199834,3.95289415,3.94056214,3.981277666,3.965816799,3.998532082,4.043980572,4
1121,BU01411101,4.09699081,4.080599657,4.114242634,4.069754071,4.09591909,4.078539067,4.116574053,4.149674817,1
1122,BU01411102,4.092660491,4.071375686,4.084042196,4.051387604,4.076625384,4.05532798,4.099754638,4.130507947,4
1123,BU01411103,3.930154096,3.930400335,3.970295335,3.886294913,3.917206149,3.916964838,3.965264769,3.971550198,3
1124,BU01411104,3.901857632,3.873713336,3.915471787,3.882114459,3.897557594,3.902489014,3.911985203,3.957243108,3
1125,BU01411105,4.408541291,4.211172879,4.090220723,4.10863684,4.001618405,4.067550324,4.024516569,4.086938322,1
1126,BU01411109,4.04791086,4.125116787,4.158654673,4.231488805,4.201848169,4.232053295,4.30006713,4.27399414,2
1127,BU01411200,4.09845679,4.10713681,4.114068667,4.11202848,4.131329391,4.138535114,4.163932146,4.161440853,1
1128,BU01411201,4.216817391,4.24121165,4.241832401,4.256567559,4.259910419,4.304170578,4.287582016,4.287749165,2
1129,BU01411202,4.093830175,4.057982102,4.091640694,4.106412035,4.077718926,4.124931584,4.139557404,4.148629713,1
1130,BU01411203,4.187159748,4.137340718,4.236335079,4.200254302,4.369780401,4.190866648,4.216710116,4.213599557,2
1131,BU01411204,4.272968185,4.426438297,4.254702824,4.472580965,4.357515524,4.177218324,4.060093648,4.101369162,2
1132,BU01411206,3.989049444,4.049140611,4.260521129,4.226282894,4.211785798,4.237115846,4.215745598,4.221453085,1
1133,BU01411209,4.36928041,4.440981324,4.424009989,4.447279903,4.326034334,4.342873391,4.224070923,4.200937825,0
1134,BU01411300,3.834111339,3.986818946,4.05700534,4.059345244,4.079018122,4.075573023,4.113815826,4.088334972,4
1135,BU01411301,4.203246875,4.261145277,4.26619091,4.26124131,4.25406624,4.281781834,4.300126592,4.273740221,2
1136,BU01411302,3.815171291,3.880217392,3.942063155,3.898003939,3.954774773,3.922317896,3.956616788,3.959163401,3
1137,BU01411303,3.877118627,3.849781064,3.913627309,3.865883886,3.873751977,3.913621006,3.945652692,3.898900305,3
1138,BU01411304,4.182069443,4.233038181,4.374396683,4.300737098,4.24281114,4.318390594,4.322670825,4.311347881,2
1139,BU01411305,4.130411806,4.161737135,4.211361735,4.266012388,4.245318581,4.279137847,4.316119938,4.282783311,2
1140,BU01411309,4.209351992,4.204785722,4.215954816,4.224244313,4.266987292,4.301495058,4.270562448,4.252378983,2
1141,BU01411400,4.191724469,4.143789352,4.201583963,4.228786659,4.207855638,4.215104883,4.231511993,4.231252532,2
