ID,lbm_2002,lbm_2008,lbm_2012,lbm_2014,lbm_2016,lbm_2018,lbm_2020,lbm_2022,cluster,2002-2008,2008-2012,2012-2014,2014-2016,2016-2018,2018-2020,2020-2022
WK188303,4.14468443,4.128274644,4.145827901,4.116125927,4.130431086,4.157084195,4.170192183,4.187261425,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK188304,4.129552394,4.136591985,4.151060523,4.133355124,4.143555331,4.190718979,4.195470209,4.157910498,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK188305,3.972936757,3.970422531,3.982366894,3.970952705,3.971564418,3.97316256,3.962276525,3.996004772,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK188306,4.095217765,4.081944671,4.116718511,4.093012119,4.09501501,4.111754702,4.144745399,4.139266829,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK188307,4.127607998,4.104792342,4.122704857,4.117239457,4.125591967,4.1384674,4.152405012,4.15759433,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK188400,4.039650222,4.048831877,4.073923665,4.132131833,4.10264638,4.113982156,4.10396659,4.088727234,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK188401,4.081416742,4.06805138,4.066728495,4.165396854,4.154563164,4.151053352,4.159708384,4.130207032,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK188402,4.053206198,4.07519519,4.072341193,4.146501648,4.163209973,4.154821163,4.156117714,4.118346386,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK188403,4.137174077,4.145861421,4.165479243,4.140607271,4.187481366,4.120381866,4.105979734,4.125489029,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK188404,4.074263017,4.075467833,4.079019025,4.079474644,4.081726517,4.073993239,4.079507688,4.072924768,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
